term,tag,integer,code
@context,core,0,0x00
alsoKnownAs,core,1,0x01
assertionMethod,core,2,0x02
authentication,core,3,0x03
capabilityDelegation,core,4,0x04
capabilityInvocation,core,5,0x05
controller,core,6,0x06
id,core,7,0x07
keyAgreement,core,8,0x08
service,core,9,0x09
serviceEndpoint,core,10,0x0A
type,core,11,0x0B
verificationMethod,core,12,0x0C
publicKeyJwk,core,13,0x0D
publicKeyMultibase,core,14,0x0E
reserved for core,core,15,0x0F
reserved for core,core,16,0x10
reserved for core,core,17,0x11
reserved for core,core,18,0x12
reserved for core,core,19,0x13
reserved for core,core,20,0x14
reserved for core,core,21,0x15
reserved for core,core,22,0x16
reserved for core,core,23,0x17
reserved for core,core,24,0x18
reserved for core,core,25,0x19
reserved for core,core,26,0x1A
reserved for core,core,27,0x1B
reserved for core,core,28,0x1C
reserved for core,core,29,0x1D
reserved for core,core,30,0x1E
reserved for core,core,31,0x1F
Bls12381G1Key2020,vm types,32,0x20
Bls12381G2Key2020,vm types,33,0x21
EcdsaSecp256k1VerificationKey2019,vm types,34,0x22
Ed25519VerificationKey2018,vm types,35,0x23
Ed25519VerificationKey2020,vm types,36,0x24
JsonWebKey2020,vm types,37,0x25
PgpVerificationKey2021,vm types,38,0x26
RsaVerificationKey2018,vm types,39,0x27
X25519KeyAgreementKey2019,vm types,40,0x28
X25519KeyAgreementKey2020,vm types,41,0x29
reserved for vm types,vm types,42,0x2A
reserved for vm types,vm types,43,0x2B
reserved for vm types,vm types,44,0x2C
reserved for vm types,vm types,45,0x2D
reserved for vm types,vm types,46,0x2E
reserved for vm types,vm types,47,0x2F
reserved for vm types,vm types,48,0x30
reserved for vm types,vm types,49,0x31
reserved for vm types,vm types,50,0x32
reserved for vm types,vm types,51,0x33
reserved for vm types,vm types,52,0x34
reserved for vm types,vm types,53,0x35
reserved for vm types,vm types,54,0x36
reserved for vm types,vm types,55,0x37
reserved for vm types,vm types,56,0x38
reserved for vm types,vm types,57,0x39
reserved for vm types,vm types,58,0x3A
reserved for vm types,vm types,59,0x3B
reserved for vm types,vm types,60,0x3C
reserved for vm types,vm types,61,0x3D
reserved for vm types,vm types,62,0x3E
reserved for vm types,vm types,63,0x3F
LinkedDomains,service types,64,0x40
DIDCommMessaging,service types,65,0x41
did-communication,service types,66,0x42
reserved for service types,service types,67,0x43
reserved for service types,service types,68,0x44
reserved for service types,service types,69,0x45
reserved for service types,service types,70,0x46
reserved for service types,service types,71,0x47
reserved for service types,service types,72,0x48
reserved for service types,service types,73,0x49
reserved for service types,service types,74,0x4A
reserved for service types,service types,75,0x4B
reserved for service types,service types,76,0x4C
reserved for service types,service types,77,0x4D
reserved for service types,service types,78,0x4E
reserved for service types,service types,79,0x4F
accept,service elements,80,0x50
routingKeys,service elements,81,0x51
reserved for service elements,service elements,82,0x52
reserved for service elements,service elements,83,0x53
reserved for service elements,service elements,84,0x54
reserved for service elements,service elements,85,0x55
reserved for service elements,service elements,86,0x56
reserved for service elements,service elements,87,0x57
reserved for service elements,service elements,88,0x58
reserved for service elements,service elements,89,0x59
reserved for service elements,service elements,90,0x5A
reserved for service elements,service elements,91,0x5B
reserved for service elements,service elements,92,0x5C
reserved for service elements,service elements,93,0x5D
reserved for service elements,service elements,94,0x5E
reserved for service elements,service elements,95,0x5F
https://www.w3.org/ns/did/v1,contexts,96,0x60
https://w3id.org/security/suites/ed25519-2020/v1,contexts,97,0x61
https://w3id.org/security/suites/x25519-2020/v1,contexts,98,0x62
reserved for contexts,contexts,99,0x63
reserved for contexts,contexts,100,0x64
reserved for contexts,contexts,101,0x65
reserved for contexts,contexts,102,0x66
reserved for contexts,contexts,103,0x67
reserved for contexts,contexts,104,0x68
reserved for contexts,contexts,105,0x69
reserved for contexts,contexts,106,0x6A
reserved for contexts,contexts,107,0x6B
reserved for contexts,contexts,108,0x6C
reserved for contexts,contexts,109,0x6D
reserved for contexts,contexts,110,0x6E
reserved for contexts,contexts,111,0x6F
reserved for contexts,contexts,112,0x70
reserved for contexts,contexts,113,0x71
reserved for contexts,contexts,114,0x72
reserved for contexts,contexts,115,0x73
reserved for contexts,contexts,116,0x74
reserved for contexts,contexts,117,0x75
reserved for contexts,contexts,118,0x76
reserved for contexts,contexts,119,0x77
reserved for contexts,contexts,120,0x78
reserved for contexts,contexts,121,0x79
reserved for contexts,contexts,122,0x7A
reserved for contexts,contexts,123,0x7B
reserved for contexts,contexts,124,0x7C
